symbol,scoutTargetMultiplier,scoutStopMultiplier,totalScouts,foRTriggers,scoutWinRate,scoutAggregatePnl,scoutStops,scoutTargets,scoutTimeouts
ETH/USDT,2,0.5,431,163,37.81902552204176,1217.1814285714347,220,49,162
ETH/USDT,2,0.7,431,178,41.29930394431555,495.95257142857577,182,51,198
ETH/USDT,2,1,431,196,45.47563805104408,554.9492857142877,131,57,243
ETH/USDT,2,1.4,431,205,47.56380510440835,40.66557142857073,83,58,290
ETH/USDT,2,2,431,208,48.25986078886311,-554.3557142857176,49,59,323
BTC/USDT,2,0.5,431,148,34.33874709976798,25401.649642857286,242,54,135
BTC/USDT,2,0.7,431,168,38.97911832946635,18374.4702857143,201,58,172
BTC/USDT,2,1,431,183,42.459396751740144,8051.341428571541,148,61,222
BTC/USDT,2,1.4,431,193,44.779582366589324,-2025.7427142855158,96,62,273
BTC/USDT,2,2,431,199,46.17169373549884,-11627.384285714172,45,62,324
