symbol,scoutTargetMultiplier,scoutStopMultiplier,totalScouts,foRTriggers,scoutWinRate,scoutAggregatePnl,scoutStops,scoutTargets,scoutTimeouts
ETH/USDT,1.8,0.7,431,180,41.76334106728538,395.46528571429076,180,56,195
ETH/USDT,1.8,0.8,431,188,43.619489559164734,524.8050000000067,164,59,208
ETH/USDT,1.8,0.9,431,192,44.5475638051044,500.3645714285731,145,61,225
ETH/USDT,1.8,1,431,198,45.93967517401392,426.27700000000254,129,63,239
ETH/USDT,1.8,1.1,431,203,47.09976798143852,370.57814285714585,117,64,250
ETH/USDT,1.8,1.2,431,205,47.56380510440835,171.9614285714283,106,64,261
ETH/USDT,1.8,1.3,431,205,47.56380510440835,-118.94342857142851,99,64,268
ETH/USDT,1.8,1.4,431,207,48.027842227378194,-67.34614285714292,81,64,286
ETH/USDT,1.9,0.7,431,180,41.76334106728538,514.5036428571482,180,53,198
ETH/USDT,1.9,0.8,431,188,43.619489559164734,655.5829285714353,164,56,211
ETH/USDT,1.9,0.9,431,192,44.5475638051044,636.1247857142878,145,57,229
ETH/USDT,1.9,1,431,198,45.93967517401392,569.1420714285744,129,59,243
ETH/USDT,1.9,1.1,431,203,47.09976798143852,514.8689285714322,117,60,254
ETH/USDT,1.9,1.2,431,205,47.56380510440835,316.2522142857147,106,60,265
ETH/USDT,1.9,1.3,431,205,47.56380510440835,25.347357142857845,99,60,272
ETH/USDT,1.9,1.4,431,207,48.027842227378194,76.94464285714344,81,60,290
ETH/USDT,2,0.7,431,178,41.29930394431555,495.95257142857577,182,51,198
ETH/USDT,2,0.8,431,186,43.1554524361949,642.8934285714345,166,54,211
ETH/USDT,2,0.9,431,190,44.08352668213457,620.7051428571444,147,55,229
ETH/USDT,2,1,431,196,45.47563805104408,554.9492857142877,131,57,243
ETH/USDT,2,1.1,431,201,46.635730858468676,496.2238571428595,119,58,254
ETH/USDT,2,1.2,431,203,47.09976798143852,291.7291428571423,108,58,265
ETH/USDT,2,1.3,431,203,47.09976798143852,-5.053714285714705,101,58,272
ETH/USDT,2,1.4,431,205,47.56380510440835,40.66557142857073,83,58,290
ETH/USDT,2.1,0.7,431,177,41.067285382830626,521.7175000000054,183,48,200
ETH/USDT,2.1,0.8,431,185,42.92343387470998,677.9270714285781,167,51,213
ETH/USDT,2.1,0.9,431,189,43.851508120649655,656.4157857142877,148,52,231
ETH/USDT,2.1,1,431,195,45.243619489559165,595.2939285714315,132,54,245
ETH/USDT,2.1,1.1,431,200,46.403712296983755,535.5233571428605,120,55,256
ETH/USDT,2.1,1.2,431,202,46.8677494199536,328.55778571428596,109,55,267
ETH/USDT,2.1,1.3,431,202,46.8677494199536,29.304071428572115,102,55,274
ETH/USDT,2.1,1.4,431,204,47.33178654292343,72.55250000000024,84,55,292
ETH/USDT,2.2,0.7,431,177,41.067285382830626,582.4148571428625,183,43,205
ETH/USDT,2.2,0.8,431,185,42.92343387470998,750.3640000000069,167,46,218
ETH/USDT,2.2,0.9,431,189,43.851508120649655,732.0005714285737,148,47,236
ETH/USDT,2.2,1,431,195,45.243619489559165,677.9835714285748,132,49,250
ETH/USDT,2.2,1.1,431,200,46.403712296983755,619.6387142857179,120,50,261
ETH/USDT,2.2,1.2,431,202,46.8677494199536,412.6731428571434,109,50,272
ETH/USDT,2.2,1.3,431,202,46.8677494199536,113.41942857142953,102,50,279
ETH/USDT,2.2,1.4,431,204,47.33178654292343,156.66785714285766,84,50,297
ETH/USDT,2.3,0.7,431,177,41.067285382830626,693.6347142857196,183,43,205
ETH/USDT,2.3,0.8,431,185,42.92343387470998,873.3234285714357,167,46,218
ETH/USDT,2.3,0.9,431,189,43.851508120649655,858.1078571428598,148,47,236
ETH/USDT,2.3,1,431,195,45.243619489559165,811.1957142857177,132,49,250
ETH/USDT,2.3,1.1,431,200,46.403712296983755,754.2765714285754,120,50,261
ETH/USDT,2.3,1.2,431,202,46.8677494199536,547.3110000000008,109,50,272
ETH/USDT,2.3,1.3,431,202,46.8677494199536,248.057285714287,102,50,279
ETH/USDT,2.3,1.4,431,204,47.33178654292343,291.3057142857151,84,50,297
ETH/USDT,2.4,0.7,431,177,41.067285382830626,774.8177142857198,183,39,209
ETH/USDT,2.4,0.8,431,185,42.92343387470998,892.7734285714357,167,41,223
ETH/USDT,2.4,0.9,431,189,43.851508120649655,880.7057142857168,148,42,241
ETH/USDT,2.4,1,431,195,45.243619489559165,840.8984285714321,132,44,255
ETH/USDT,2.4,1.1,431,200,46.403712296983755,785.4050000000038,120,45,266
ETH/USDT,2.4,1.2,431,202,46.8677494199536,578.4394285714293,109,45,277
ETH/USDT,2.4,1.3,431,202,46.8677494199536,279.18571428571545,102,45,284
ETH/USDT,2.4,1.4,431,204,47.33178654292343,322.43414285714357,84,45,302
ETH/USDT,2.5,0.7,431,177,41.067285382830626,865.9294285714329,183,38,210
ETH/USDT,2.5,0.8,431,185,42.92343387470998,990.1058571428634,167,40,224
ETH/USDT,2.5,0.9,431,189,43.851508120649655,981.1860000000017,148,41,242
ETH/USDT,2.5,1,431,195,45.243619489559165,948.4835714285744,132,43,256
ETH/USDT,2.5,1.1,431,200,46.403712296983755,894.4158571428602,120,44,267
ETH/USDT,2.5,1.2,431,202,46.8677494199536,687.4502857142857,109,44,278
ETH/USDT,2.5,1.3,431,202,46.8677494199536,388.1965714285718,102,44,285
ETH/USDT,2.5,1.4,431,204,47.33178654292343,431.44499999999994,84,44,303
BTC/USDT,1.8,0.7,431,168,38.97911832946635,13583.457142857093,201,67,163
BTC/USDT,1.8,0.8,431,176,40.835266821345705,11969.99285714286,176,68,187
BTC/USDT,1.8,0.9,431,179,41.53132250580047,7296.4570000000385,161,69,201
BTC/USDT,1.8,1,431,183,42.459396751740144,3054.7771428572014,148,70,213
BTC/USDT,1.8,1.1,431,187,43.38747099767982,76.64964285722817,134,71,226
BTC/USDT,1.8,1.2,431,188,43.619489559164734,-4126.966571428464,121,71,239
BTC/USDT,1.8,1.3,431,190,44.08352668213457,-5517.194214285599,109,71,251
BTC/USDT,1.8,1.4,431,193,44.779582366589324,-7132.1198571427085,96,71,264
BTC/USDT,1.9,0.7,431,168,38.97911832946635,17075.635285714336,201,64,166
BTC/USDT,1.9,0.8,431,176,40.835266821345705,15504.012142857246,176,65,190
BTC/USDT,1.9,0.9,431,179,41.53132250580047,10862.716214285843,161,66,204
BTC/USDT,1.9,1,431,183,42.459396751740144,6649.730857143004,148,67,216
BTC/USDT,1.9,1.1,431,187,43.38747099767982,3726.5097857144574,134,68,229
BTC/USDT,1.9,1.2,431,188,43.619489559164734,-477.1064285712346,121,68,242
BTC/USDT,1.9,1.3,431,190,44.08352668213457,-1867.3340714283695,109,68,254
BTC/USDT,1.9,1.4,431,193,44.779582366589324,-3482.2597142854793,96,68,267
BTC/USDT,2,0.7,431,168,38.97911832946635,18374.4702857143,201,58,172
BTC/USDT,2,0.8,431,176,40.835266821345705,16844.68828571435,176,59,196
BTC/USDT,2,0.9,431,179,41.53132250580047,12235.632285714382,161,60,210
BTC/USDT,2,1,431,183,42.459396751740144,8051.341428571541,148,61,222
BTC/USDT,2,1.1,431,187,43.38747099767982,5183.026785714421,134,62,235
BTC/USDT,2,1.2,431,188,43.619489559164734,979.4105714287289,121,62,248
BTC/USDT,2,1.3,431,190,44.08352668213457,-410.81707142840605,109,62,260
BTC/USDT,2,1.4,431,193,44.779582366589324,-2025.7427142855158,96,62,273
BTC/USDT,2.1,0.7,431,168,38.97911832946635,19816.274000000034,201,55,175
BTC/USDT,2.1,0.8,431,176,40.835266821345705,18328.333142857227,176,56,199
BTC/USDT,2.1,0.9,431,179,41.53132250580047,13751.51707142868,161,57,213
BTC/USDT,2.1,1,431,183,42.459396751740144,9595.920714285836,148,58,225
BTC/USDT,2.1,1.1,431,187,43.38747099767982,6782.512500000143,134,59,238
BTC/USDT,2.1,1.2,431,188,43.619489559164734,2578.8962857144506,121,59,251
BTC/USDT,2.1,1.3,431,190,44.08352668213457,1188.6686428573157,109,59,263
BTC/USDT,2.1,1.4,431,193,44.779582366589324,-426.25699999979406,96,59,276
BTC/USDT,2.2,0.7,431,168,38.97911832946635,22603.879714285722,201,51,179
BTC/USDT,2.2,0.8,431,176,40.835266821345705,21157.780000000057,176,52,203
BTC/USDT,2.2,0.9,431,179,41.53132250580047,16613.203857142944,161,53,217
BTC/USDT,2.2,1,431,183,42.459396751740144,12466.033000000098,148,53,230
BTC/USDT,2.2,1.1,431,187,43.38747099767982,9707.531214285831,134,54,243
BTC/USDT,2.2,1.2,431,188,43.619489559164734,5503.915000000139,121,54,256
BTC/USDT,2.2,1.3,431,190,44.08352668213457,4113.687357143004,109,54,268
BTC/USDT,2.2,1.4,431,193,44.779582366589324,2498.7617142858944,96,54,281
BTC/USDT,2.3,0.7,431,167,38.74709976798144,24134.524785714326,202,49,180
BTC/USDT,2.3,0.8,431,175,40.60324825986079,22680.877071428666,177,50,204
BTC/USDT,2.3,0.9,431,178,41.29930394431555,18119.15171428582,162,51,218
BTC/USDT,2.3,1,431,182,42.22737819025522,13922.591714285838,149,51,231
BTC/USDT,2.3,1.1,431,186,43.1554524361949,11169.607214285861,135,52,244
BTC/USDT,2.3,1.2,431,187,43.38747099767982,6916.601857143018,122,52,257
BTC/USDT,2.3,1.3,431,189,43.851508120649655,5476.985071428746,110,52,269
BTC/USDT,2.3,1.4,431,192,44.5475638051044,3812.6702857144846,97,52,282
BTC/USDT,2.4,0.7,431,167,38.74709976798144,26683.013714285713,202,47,182
BTC/USDT,2.4,0.8,431,175,40.60324825986079,25271.207142857194,177,48,206
BTC/USDT,2.4,0.9,431,178,41.29930394431555,20741.721714285784,162,49,220
BTC/USDT,2.4,1,431,182,42.22737819025522,16545.1617142858,149,49,233
BTC/USDT,2.4,1.1,431,186,43.1554524361949,13847.083642857266,135,50,246
BTC/USDT,2.4,1.2,431,187,43.38747099767982,9594.078285714422,122,50,259
BTC/USDT,2.4,1.3,431,189,43.851508120649655,8154.46150000015,110,50,271
BTC/USDT,2.4,1.4,431,192,44.5475638051044,6490.146714285889,97,50,284
BTC/USDT,2.5,0.7,431,167,38.74709976798144,27298.312000000078,202,43,186
BTC/USDT,2.5,0.8,431,175,40.60324825986079,25928.3465714287,177,44,210
BTC/USDT,2.5,0.9,431,178,41.29930394431555,21431.101071428726,162,45,224
BTC/USDT,2.5,1,431,182,42.22737819025522,17234.541071428743,149,45,237
BTC/USDT,2.5,1.1,431,186,43.1554524361949,14591.369428571634,135,46,250
BTC/USDT,2.5,1.2,431,187,43.38747099767982,10338.36407142879,122,46,263
BTC/USDT,2.5,1.3,431,189,43.851508120649655,8898.747285714519,110,46,275
BTC/USDT,2.5,1.4,431,192,44.5475638051044,7234.432500000257,97,46,288
