symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,opportunity_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,risk_reward_ratio,stop_loss_pct,take_profit_pct,support_level,resistance_level,market_regime,regime_confidence,regime_trend_strength,regime_volatility,regime_suggested_threshold,combined_score
BANANA/USDT:USDT,20.86,-0.00666666666666671,-0.11082693947144084,48.089421362148464,0.32330133576053754,76096956.68930002,2.536576445042217,Neutral,48.333333333333286,Neutral,2.46,0.444,66.19,52.87,65.96,daily,2025-10-27 15:08:29.639058+00:00,0.6155277459070051,18.289513045775085,46.554621848739494,55.805183000352464,False,True,False,True,True,True,15.496938775510204,0.34607229867649963,15.496938775510204,22.837040816326528,bear,17.9,22.866,0,20.86,20.2342,21.4858,0.6258,0.6258,1.0,-3.0,3.0,17.13308873,23.18791127,bear,45.0,18.3,high,75,62.29133333333333
MLN/USDT:USDT,8.333,0.5566971791518776,0.1311252884484866,51.826246778569214,0.2068756058317363,1123710.286835,0.9239043341416244,Buy,95.0,MACD Bullish,7.51,0.723,66.24,4.21,68.51,daily,2025-10-27 15:10:34.768205+00:00,0.5954518886185153,33.80995749944876,30.01196376687746,34.83428445676909,False,False,False,True,True,False,10.610479591836736,-0.2146443591097366,10.610479591836736,8.690357142857142,bull,8.450684,20.075864,0,8.333,8.08301,8.957975,0.24999,0.624975,2.5,-3.0,7.5,3.17646996,11.83633004,bull,87.1,33.8,high,60,60.9465
SOON/USDT:USDT,0.70446,-0.2779804854050508,1.1663027768381564,49.344149563562375,-0.03662069519917435,3530733.4111117087,0.2220513353005382,Sell,20.16896524004128,MACD Bearish,8.97,0.636,68.38,4.3,81.97,daily,2025-10-27 15:09:55.203308+00:00,0.18814865250483276,49.630614845662116,11.11296911206135,10.735579113195845,False,True,False,False,True,False,0.14253479591836737,3.9423721096388196,0.14253479591836737,0.7550107142857143,bull,0.67509,1.3103842399999999,0,0.70446,0.7255938,0.6516255,0.0211338,0.0528345,2.5,3.0,-7.5,0.63313517,1.01222283,bull,45.0,49.6,high,60,60.74189652400413
EIGEN/USDT:USDT,1.8152,0.2954610333999428,0.36317212376088914,67.31857142048143,0.03817653680807058,1993473.8016569999,2.759636279795242,Buy,86.90882684040353,MACD Bullish,8.31,0.844,98.17,52.03,38.81,daily,2025-10-27 15:10:41.096280+00:00,1.0633537328061295,28.92504377774248,88.41154740730606,72.03066811242694,True,True,False,True,True,True,1.3907571428571428,0.3051883352336343,1.3907571428571428,1.814208163265306,bull,1.8999,2.1363224,0,1.8152,1.760744,1.95134,0.054456,0.13614,2.5,-3.0,7.5,1.02727398,1.76825602,bull,100.0,28.9,high,60,60.442882684040356
A/USDT:USDT,0.29411,0.006329980154656578,-0.2725631322500063,38.06484861579371,0.005421613862088816,907700.6754215033,1.4878937564236643,Neutral,33.94110053844786,Neutral,5.0,0.372,60.28,20.11,77.5,daily,2025-10-27 15:08:08.589417+00:00,0.44076542330932095,50.22611063884635,41.97450147106893,43.66117985338619,False,False,False,False,False,False,0.50978,-0.4230648515045706,0.50978,0.29462387755102043,bear,0.15968,0.2935328,0,0.29411,0.2852867,0.3029333,0.0088233,0.0088233,1.0,-3.0,3.0,0.23470837,0.36947763,bear,100.0,50.2,high,75,60.230610053844785
KAITO/USDT:USDT,1.157,-0.07698444355803746,0.08262374847946097,51.728160188051945,0.008036094423153941,2552317.6144815,1.9282359019374897,Neutral,30.401804721157696,Neutral,5.73,0.428,59.83,33.85,73.73,daily,2025-10-27 15:09:25.862517+00:00,0.622044409816758,28.48102790225257,34.948453608247426,30.395189003436418,False,False,False,True,True,False,1.4324673469387754,-0.19230270590632112,1.4324673469387754,1.2844693877551019,bull,1.175924,1.693904,0,1.157,1.12229,1.19171,0.03471,0.03471,1.0,-3.0,3.0,0.90228396,1.31176604,bear,80.0,28.5,high,75,59.94018047211578
OG/USDT:USDT,14.4042,-0.1972603350460883,-0.10905897052092495,37.9160011827334,-0.43362349816105206,839112.2917876545,0.7791659153550913,Strong Sell,7.0,MACD Bearish,6.7,0.732,71.46,4.19,79.2,daily,2025-10-27 15:11:13.997189+00:00,-0.020362755942515385,21.25486499787056,20.585346363227725,13.046580501620909,False,False,False,False,False,False,16.25089081632653,-0.11363628229359869,16.25089081632653,14.424600000000002,bear,13.1316,13.1316,0,14.4042,14.836326,13.323885,0.432126,1.080315,2.5,3.0,-7.5,14.50541707,19.47611293,bear,90.8,21.3,high,75,58.79350000000001
QTUM/USDT:USDT,2.483,-0.04279105628373159,0.19662650602409637,45.521515942789605,-0.04375096895313152,1249203.58029,0.18426855815497953,Weak Sell,19.812451552343425,MACD Bearish,6.59,0.524,66.17,2.68,79.59,daily,2025-10-27 15:08:43.325804+00:00,0.1675723542563456,19.884969834179866,19.507186858316256,12.36851018120548,False,True,False,False,False,True,3.0857755102040816,-0.1953400395494798,3.0857755102040816,2.3735,bull,2.541786,3.897256,0,2.483,2.55749,2.41689089,0.07449,0.06610911,0.89,3.0,-2.66,2.40486656,2.87113344,bull,45.0,19.9,high,60,58.72074515523435
ERA/USDT:USDT,0.34563,-0.11467725409836071,-0.3828696925329429,31.221915509651623,0.0044511969882337354,591858.6681016505,1.4419895066567425,Neutral,25.222559849411688,Neutral,5.0,0.574,63.8,17.54,73.5,daily,2025-10-27 15:10:49.245716+00:00,0.2856457780111885,54.26359566459574,16.904372223521154,13.928742182675975,False,False,False,False,False,False,0.7320819387755102,-0.5278807170436342,0.7320819387755102,0.3339839795918367,bear,0.27492,0.27491999999999994,0,0.34563,0.3352611,0.3559989,0.0103689,0.0103689,1.0,-3.0,3.0,0.28459949,0.49825751,bear,100.0,54.3,high,75,57.85325598494117
CRO/USDT:USDT,0.23758,-0.08927818453635905,0.602779464345949,50.89664056792431,-0.0080554797714588,2408203.69705915,0.2129552091689686,Weak Sell,21.59722601142706,MACD Bearish,8.81,0.511,59.26,4.12,80.31,daily,2025-10-27 15:09:57.912491+00:00,0.18230076800473327,47.661843361359956,22.710812209001585,15.244740953894983,False,True,False,False,True,True,0.10223877551020408,1.3237758748028827,0.10223877551020408,0.25894040816326525,bull,0.2238593,0.46073280000000005,0,0.23758,0.2447074,0.22487701,0.0071274,0.01270299,1.78,3.0,-5.35,0.22375822,0.29957678,bull,80.0,47.7,high,60,57.747722601142705
